#t=0.7999607263521227 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
-5.000000000000000000e+00 9.999998957466384281e-06 -6.991253567291201055e-05 -4.173688359345223706e-06 3.484320617771692810e+02 -7.118588328495487668e-04 -3.056110782261126113e-04 1.000257517597780588e+00 1.000257669514886594e+00 8.818348523858459279e-08 1.000257595663420762e+00
-4.990234375000000000e+00 9.999999058933284348e-06 -4.764745969078431188e-05 -2.325280223689142554e-06 3.484319048548416617e+02 4.874993741629683112e-04 -1.061446781733438630e-04 1.000257212480037960e+00 1.000257142987901915e+00 3.975806519344373867e-08 1.000257155329635994e+00
-4.980468750000000000e+00 9.999999224040983386e-06 -4.885128315784564461e-05 1.058831577519183185e-05 3.484320236872273995e+02 -4.611319553824258272e-04 5.849383373823678275e-04 1.000257417938598126e+00 1.000257535601425607e+00 -2.293457079832216478e-07 1.000257512981456376e+00
-4.980468750000000000e+00 9.999999181044464430e-06 -5.226645154011473068e-05 -1.985590251458528996e-06 3.484320437667589658e+02 -5.266176031038510971e-04 -1.547108152222171392e-04 1.000257416997086146e+00 1.000257608427460587e+00 4.505782360073529298e-08 1.000257566323797587e+00
-4.970703125000000000e+00 9.999999343366178931e-06 -4.282034123843887286e-05 -1.688804212349458968e-06 3.484319890470052314e+02 -8.944832468094944533e-05 -1.186549279122175554e-04 1.000257434254166355e+00 1.000257432025842608e+00 4.485249230698039850e-08 1.000257425474000206e+00
-4.960937500000000000e+00 9.999999315642358580e-06 -2.844073225006491678e-05 6.161659962949402855e-06 3.484318929280653379e+02 6.138644244272046342e-04 3.157987436437847354e-04 1.000257252411318909e+00 1.000257079829266038e+00 -1.178184912329149734e-07 1.000257146768481098e+00
-4.960937500000000000e+00 9.999999381298313306e-06 -3.986683348021878982e-05 1.022504897276267876e-06 3.484319993868696201e+02 -2.116744150489221717e-04 2.121191955175653131e-05 1.000257525168466222e+00 1.000257415923026860e+00 -2.120640245993767328e-08 1.000257458951246292e+00
-4.951171875000000000e+00 9.999999478975074666e-06 -2.804004993645330739e-05 -1.566926602034680412e-06 3.484320211934337408e+02 -2.431931199115636166e-04 -7.015555273251047256e-05 1.000257424287936292e+00 1.000257591226871190e+00 3.368212178833213362e-08 1.000257531322400473e+00
-4.941406250000000000e+00 9.999999395230743210e-06 -1.348718579520806565e-05 2.829991991236018393e-06 3.484318869892593966e+02 7.251392294847236204e-04 1.684217335883729418e-04 1.000257278359045987e+00 1.000257053925411865e+00 -8.069531545258806063e-08 1.000257137680602648e+00
-4.941406250000000000e+00 9.999999479701761172e-06 -1.471732422744656721e-05 -2.140338284568614682e-07 3.484319259844828593e+02 3.407542552159901843e-04 3.043823662008676378e-05 1.000257389406929986e+00 1.000257165816554661e+00 -2.078882446956011448e-08 1.000257258075001321e+00
-4.931640625000000000e+00 9.999999538472755970e-06 -1.916819272111000913e-05 -2.612676084856724012e-07 3.484320126651128362e+02 -2.144360575828907446e-04 8.327022820926318031e-06 1.000257465696373860e+00 1.000257524059659398e+00 -4.051187144409410772e-09 1.000257512791114189e+00
-4.921875000000000000e+00 9.999999789475868986e-06 -1.987063309501316570e-05 3.932606501174155077e-06 3.484320320394442092e+02 -2.532922769090478971e-04 2.460887373935676946e-04 1.000257535164922773e+00 1.000257710778826636e+00 -8.521391004074095037e-08 1.000257593516548527e+00
-4.921875000000000000e+00 9.999999598663039175e-06 -1.460191199600072486e-05 5.884424324420503235e-07 3.484319831613575502e+02 9.169746783347353938e-05 -1.126692150706646652e-05 1.000257450674906456e+00 1.000257438382298192e+00 -1.818211262683552556e-08 1.000257434114099064e+00
-4.912109375000000000e+00 9.999999577089447128e-06 -6.953474066021557147e-06 -9.412887327113323262e-07 3.484319608404290420e+02 2.142220435477629669e-04 -7.348333859671305500e-06 1.000257387309360313e+00 1.000257336964874399e+00 8.286638455361714998e-09 1.000257367878614856e+00
-4.902343750000000000e+00 9.999999581942190362e-06 -1.278146558789499506e-06 3.201952489118480776e-06 3.484320229016004191e+02 -1.646099132654437337e-04 2.428000264883169580e-04 1.000257385981389469e+00 1.000257635949893142e+00 -6.784578241038767553e-08 1.000257546525465724e+00
-4.902343749999999112e+00 9.999999660970123783e-06 -1.287353729427041404e-05 3.473523351849904360e-06 3.484320554195577984e+02 -4.833025254492189816e-04 2.069176806298160011e-04 1.000257577328426795e+00 1.000257686155201498e+00 -8.353040999149250616e-08 1.000257647780878001e+00
-4.892578125000000000e+00 9.999999760230972280e-06 -3.801284117305773191e-06 -3.384008075044705854e-06 3.484319819189692566e+02 1.255854282954852299e-04 -2.033055469509887107e-04 1.000257468173055164e+00 1.000257429583923940e+00 7.358834690711505358e-08 1.000257446708479048e+00
-4.882812500000000000e+00 9.999999769209431735e-06 -1.080805732845250926e-06 1.608755101349539399e-06 3.484319846352268542e+02 -1.428086805764848630e-05 8.030796956429675732e-05 1.000257520822627200e+00 1.000257405076399708e+00 -2.466677722009835169e-08 1.000257455404224283e+00
-4.882812499999999112e+00 9.999999869871005064e-06 -6.193628784908386611e-06 1.412426130128051205e-06 3.484320375052461713e+02 -3.661825763731244650e-04 7.732815292230761813e-05 1.000257591742013119e+00 1.000257625630290637e+00 -2.118098035894639746e-08 1.000257617249026953e+00
-4.873046875000000000e+00 9.999999934224157048e-06 1.688033315557674650e-06 8.550691335941860136e-07 3.484319840003175273e+02 1.602526948234766645e-04 -2.442385761939910472e-05 1.000257435201602707e+00 1.000257487263032985e+00 -2.183738861287605097e-09 1.000257470087286160e+00
