#t=1499.9999999987808 
# x rho, U:x, U:y, T, Q:x, p
-2.616820764472958189e-20 2.522182661613717181e-01 -4.469340236369824678e-04 -2.497572640147349148e+02 2.731432559419754398e+02 -2.896040049442684449e+03 1.433426985528472505e+04
7.142857142857139327e-05 2.430699306944479055e-01 -1.212249176907242369e-04 -2.139710174896901265e+02 2.842846004526222714e+02 -2.494118672440512000e+03 1.437782291456812163e+04
1.428571428571428137e-04 2.354390458788762075e-01 1.105261722210202870e-04 -1.770650276518420014e+02 2.936040511140887475e+02 -2.066304310381105552e+03 1.438298710356686570e+04
2.142857142857142476e-04 2.293256117146575124e-01 2.343392946354416891e-04 -1.396601373157416504e+02 3.008652640704546002e+02 -1.625824854507951841e+03 1.435599071554233342e+04
2.857142857142856815e-04 2.247296282017932911e-01 2.388974908701964187e-04 -1.024733424594022040e+02 3.060615799890703101e+02 -1.187826899171880996e+03 1.431125458380681994e+04
3.571428571428570883e-04 2.216510953402812401e-01 1.166888125506402484e-04 -6.628196596342102964e+01 3.094512456718097155e+02 -7.685646034507591366e+02 1.427153461989692187e+04
4.285714285714286036e-04 2.200900131301230245e-01 -1.350784661656311177e-04 -3.187636248968112795e+01 3.115520111991993986e+02 -3.843087753932285295e+02 1.426722314344638107e+04
5.000000000000000104e-04 2.200463815713166738e-01 -5.139531422603392952e-04 -6.326833786325234549e-03 3.130894691849254627e+02 -5.009885039565889286e+01 1.433478719422132599e+04
4.999999999999999020e-04 2.200463815713156746e-01 5.139531403448152408e-04 6.326834410462685472e-03 3.130894691849267701e+02 5.009885054956825456e+01 1.433478719422132053e+04
5.714285714285713630e-04 2.200900131303191454e-01 1.350784646469067353e-04 3.187636249034216007e+01 3.115520111989504812e+02 3.843087755567572117e+02 1.426722314344769620e+04
6.428571428571427156e-04 2.216510953406111983e-01 -1.166888136272993418e-04 6.628196596402032981e+01 3.094512456713716233e+02 7.685646035690203917e+02 1.427153461989796233e+04
7.142857142857141767e-04 2.247296282021891412e-01 -2.388974913939900194e-04 1.024733424598731659e+02 3.060615799885375168e+02 1.187826899306268615e+03 1.431125458380711643e+04
7.857142857142856377e-04 2.293256117150533901e-01 -2.343392949487137211e-04 1.396601373160522144e+02 3.008652640699283438e+02 1.625824854626496062e+03 1.435599071554200418e+04
8.571428571428572072e-04 2.354390458792059715e-01 -1.105261724210844412e-04 1.770650276519992303e+02 2.936040511136690725e+02 2.066304310511249696e+03 1.438298710356645097e+04
9.285714285714286682e-04 2.430699306946444149e-01 1.212249178536332434e-04 2.139710174897345496e+02 2.842846004523902366e+02 2.494118672544909714e+03 1.437782291456801067e+04
1.000000000000000021e-03 2.522182661613703858e-01 4.469340240572948529e-04 2.497572640147330105e+02 2.731432559419776567e+02 2.896040049541424196e+03 1.433426985528476689e+04
