#t=1499.9999999987808 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
1.116559674037652501e-20 2.523562370435643576e-01 -3.918666397754489187e-04 -2.497648993775696340e+02 2.731401432171058445e+02 -2.841632913636276498e+03 1.642915594232245269e+01 1.434194784477463509e+04 1.434195568942465616e+04 -1.132740075268752378e+01 1.434194768473212571e+04
1.603248143629917058e-05 2.499823337346795404e-01 -2.537117307681711789e-04 -2.413853715238895177e+02 2.758473322012935114e+02 -2.748489992216707378e+03 9.809519227902544571e+02 1.434194476099088206e+04 1.435964983982353806e+04 -1.135508850102153566e+01 1.434784461138450024e+04
5.103747732085724348e-05 2.451553275865600845e-01 -1.183979761083873640e-05 -2.230071036933214543e+02 2.813846548101930125e+02 -2.542183377707287036e+03 1.417730946341805975e+03 1.434193949664630418e+04 1.437587663061230160e+04 -1.140368866241254331e+01 1.435325179207367546e+04
9.883759776219018577e-05 2.393529297407461232e-01 1.765714738830162836e-04 -1.978893278774647513e+02 2.881037123935994373e+02 -2.256925842679510424e+03 4.385200913633001960e+02 1.434193556203649496e+04 1.436059874523646613e+04 -1.144186817464897743e+01 1.434815833293717515e+04
1.511624022378098601e-04 2.340456087084278047e-01 1.798716462327340591e-04 -1.706799167324315931e+02 2.943745688713067921e+02 -1.945898076264667679e+03 -5.172834592474231385e+01 1.434193556205615278e+04 1.432227357088493955e+04 -1.144282272066305950e+01 1.433538442826458959e+04
1.989625226791428159e-04 2.301512446797149836e-01 -1.463512272853355297e-05 -1.464205185013558719e+02 2.992172355916379161e+02 -1.669300010173529472e+03 6.133363239811900485e+02 1.434193949670231814e+04 1.430237999025145109e+04 -1.140290265166122374e+01 1.432875617280347069e+04
2.339675185637007872e-04 2.278771158018660092e-01 -2.813339120803160431e-04 -1.292086210591564566e+02 3.023255957846040474e+02 -1.474992196549782875e+03 6.352522184430511061e+02 1.434194476107152514e+04 1.431976406106868126e+04 -1.134713155044970279e+01 1.433455415594473561e+04
2.499999999999999510e-04 2.269986600516087083e-01 -4.391085325388426248e-04 -1.215215706388627552e+02 3.036523593010258537e+02 -1.389088510635282773e+03 3.873638151861267698e+00 1.434194784486441313e+04 1.434197658093135760e+04 -1.131374647660863708e+01 1.434196015954982613e+04
2.499999999999999510e-04 2.269983155935202668e-01 6.224829755245681290e-05 -1.215183753811561900e+02 3.036521161065966226e+02 -1.383645301935420775e+03 3.934657689169654304e+00 1.434191738923870616e+04 1.434193953315697581e+04 -1.135570740478015317e+01 1.434192690998408762e+04
2.660324814362991690e-04 2.261325807144522748e-01 3.871162958107208601e-05 -1.137370468873562999e+02 3.048401257061927367e+02 -1.295812852688216026e+03 -1.410368754619789797e+03 1.434192527259457165e+04 1.434552246121787357e+04 -1.137350559395505201e+01 1.434312652437503129e+04
