#t=30.00000000000189 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
1.116559674037652501e-20 2.581865269101138970e-03 -9.715105971884918645e-02 -2.307726336051794362e+02 2.841675177842662379e+02 -2.431303735510156912e+03 6.700919515431038462e+02 1.523513762503027351e+02 1.534413759631335950e+02 -1.056003973868514301e+01 1.526569451988529238e+02
1.603248143629917058e-05 2.549909976090231588e-03 -6.295329130224402991e-02 -2.225113320287386784e+02 2.880487432415470153e+02 -2.361674127197738926e+03 7.038904328622345474e+02 1.523473252937900213e+02 1.538634400586706192e+02 -1.063019784402907497e+01 1.528267547691743573e+02
5.103747732085724348e-05 2.485651661825826961e-03 -2.561555638448957846e-03 -2.044813377633022924e+02 2.959349954005719496e+02 -2.198647028545006833e+03 6.751237546825642539e+02 1.523403955596478170e+02 1.543732616356516019e+02 -1.075338750673003574e+01 1.530541642162427820e+02
9.883759776219018577e-05 2.410117670084917924e-03 4.516115187276233817e-02 -1.801368774671923632e+02 3.053461452540826713e+02 -1.956928869761112082e+03 5.024839746001398453e+02 1.523352035429074931e+02 1.543837042985896630e+02 -1.085027342326761612e+01 1.531225831192947453e+02
1.511624022378098601e-04 2.343598077428620495e-03 4.643500079775977202e-02 -1.543600318743323783e+02 3.138465854708589973e+02 -1.677695917714187772e+03 2.876530933119981910e+02 1.523352027830548536e+02 1.539808033791740911e+02 -1.085307906601428485e+01 1.530414597398104206e+02
1.989625226791428159e-04 2.297597184422427163e-03 -2.794238082381860985e-03 -1.321423545982326004e+02 3.200835125209932244e+02 -1.420708612724587965e+03 1.836272608615321076e+02 1.523403937993882380e+02 1.538171823520677606e+02 -1.075292572736609387e+01 1.530191386260172521e+02
2.339675185637007872e-04 2.272853042184170246e-03 -7.066148003389728649e-02 -1.169732985157746867e+02 3.238541795439174393e+02 -1.237735435112224195e+03 2.038363984770504658e+02 1.523473214599711412e+02 1.541818630065551474e+02 -1.061325339599702033e+01 1.531543796924492540e+02
2.499999999999999510e-04 2.264044718585315596e-03 -1.108283532436612345e-01 -1.103953909980135535e+02 3.253920610119572530e+02 -1.156651045134942478e+03 2.445567624764909169e+02 1.523513698375436718e+02 1.545642328851538991e+02 -1.052984145015947526e+01 1.532853012245431614e+02
2.499999999999999510e-04 2.261891760307546337e-03 -7.976706878578258830e-03 -1.097158675391528249e+02 3.254951869152691302e+02 -1.175419956054900922e+03 2.139228871604348683e+02 1.523392358337295889e+02 1.543230444061493358e+02 -1.071435647078693698e+01 1.531880711700447932e+02
2.660324814362991690e-04 2.251994686824944792e-03 -5.142413679273229871e-03 -1.027068090730481487e+02 3.269631893242329284e+02 -1.101972358308922821e+03 2.060473364673775052e+02 1.523395501502175478e+02 1.543720114367413032e+02 -1.073018647696748573e+01 1.532056496862830954e+02
3.010374773208571945e-04 2.232706035758016440e-03 -2.446852655859276730e-04 -8.730472532124984752e+01 3.298406454841791060e+02 -9.391256890978265801e+02 1.819940566536108975e+02 1.523400865753344817e+02 1.544383164665305799e+02 -1.075741723092260393e+01 1.532301675354040356e+02
3.488375977621902316e-04 2.211507774157037663e-03 3.486670670343514078e-03 -6.615039097908525889e+01 3.330144453561825912e+02 -7.129631738216969552e+02 1.390835403492487217e+02 1.523404872619686898e+02 1.544473390526102037e+02 -1.077806593017817960e+01 1.532357510407518362e+02
4.011624022378098382e-04 2.195107431109441509e-03 3.523690828404372772e-03 -4.301273992392198409e+01 3.354658442846441062e+02 -4.636038568462206513e+02 8.833129296801620001e+01 1.523404868525651636e+02 1.543915235210685069e+02 -1.077824507365452433e+01 1.532190082781436615e+02
4.489625226791427669e-04 2.186341381106765569e-03 -2.187366704296347150e-04 -2.207968248826914248e+01 3.367863175695502491e+02 -2.375058115913888912e+02 4.538849186792170087e+01 1.523400854190063853e+02 1.543555201389791023e+02 -1.075738509706610913e+01 1.532078339063915280e+02
4.839675185637007924e-04 2.183686560176455790e-03 -5.257344003194857306e-03 -6.977013172591313150e+00 3.372266916454916554e+02 -7.481518757532292341e+01 1.660151388953237728e+01 1.523395484457764155e+02 1.543974467916794140e+02 -1.072908453017367769e+01 1.532218851741177446e+02
5.000000000000000104e-04 2.183533402297667923e-03 -8.210267791345376640e-03 -1.450920073633915619e-01 3.372894047900724104e+02 -1.495114960794628800e+00 3.501120951239246271e+00 1.523392338761651956e+02 1.544510285019833304e+02 -1.071238798336613129e+01 1.532396308699010490e+02
4.999999999999997936e-04 2.183533402297667490e-03 8.210267791228026066e-03 1.450920073659620613e-01 3.372894047900712167e+02 1.495114960763507472e+00 -3.501120951210954235e+00 1.523392338761649114e+02 1.544510285019831031e+02 -1.071238798336612774e+01 1.532396308699005090e+02
5.160324814362991742e-04 2.183686560176448417e-03 5.257344002894081408e-03 6.977013172593877322e+00 3.372266916454923944e+02 7.481518757544175457e+01 -1.660151388958401242e+01 1.523395484457761313e+02 1.543974467916799824e+02 -1.072908453017368657e+01 1.532218851741175456e+02
5.510374773208571997e-04 2.186341381106761666e-03 2.187366701264881555e-04 2.207968248827175017e+01 3.367863175695506470e+02 2.375058115912106871e+02 -4.538849186796838353e+01 1.523400854190065559e+02 1.543555201389790454e+02 -1.075738509706610024e+01 1.532078339063914427e+02
5.988375977621902910e-04 2.195107431109451484e-03 -3.523690828604800120e-03 4.301273992392437151e+01 3.354658442846417756e+02 4.636038568460735405e+02 -8.833129296799781116e+01 1.523404868525659310e+02 1.543915235210693879e+02 -1.077824507365448170e+01 1.532190082781432636e+02
6.511624022378099518e-04 2.211507774157022484e-03 -3.486670670514233419e-03 6.615039097908845633e+01 3.330144453561837281e+02 7.129631738214962979e+02 -1.390835403495800904e+02 1.523404872619681782e+02 1.544473390526098910e+02 -1.077806593017808900e+01 1.532357510407512962e+02
6.989625226791427179e-04 2.232706035758024246e-03 2.446852653109921082e-04 8.730472532125209284e+01 3.298406454841774007e+02 9.391256890978436331e+02 -1.819940566535921960e+02 1.523400865753349365e+02 1.544383164665298409e+02 -1.075741723092250623e+01 1.532301675354037798e+02
7.339675185637008518e-04 2.251994686824962139e-03 5.142413678962187880e-03 1.027068090730503798e+02 3.269631893242322462e+02 1.101972358308702269e+03 -2.060473364674256231e+02 1.523395501502178888e+02 1.543720114367412464e+02 -1.073018647696738981e+01 1.532056496862839765e+02
7.500000000000000156e-04 2.261891760307558046e-03 7.976706878268784162e-03 1.097158675391549991e+02 3.254951869152681070e+02 1.175419956054855675e+03 -2.139228871604875621e+02 1.523392358337302426e+02 1.543230444061499895e+02 -1.071435647078682152e+01 1.531880711700451059e+02
7.499999999999999072e-04 2.264044718585309091e-03 1.108283532434648083e-01 1.103953909980155288e+02 3.253920610119595267e+02 1.156651045134738752e+03 -2.445567624764859431e+02 1.523513698375439844e+02 1.545642328851540128e+02 -1.052984145015940420e+01 1.532853012245437867e+02
7.660324814362991794e-04 2.272853042184175450e-03 7.066148003378004694e-02 1.169732985157760083e+02 3.238541795439160182e+02 1.237735435112043206e+03 -2.038363984767887587e+02 1.523473214599711696e+02 1.541818630065545506e+02 -1.061325339599692441e+01 1.531543796924489413e+02
8.010374773208572049e-04 2.297597184422433235e-03 2.794238082152067371e-03 1.321423545982339931e+02 3.200835125209929402e+02 1.420708612724559543e+03 -1.836272608613775503e+02 1.523403937993881527e+02 1.538171823520682153e+02 -1.075292572736591978e+01 1.530191386260175079e+02
8.488375977621902962e-04 2.343598077428628735e-03 -4.643500079788645540e-02 1.543600318743342825e+02 3.138465854708570077e+02 1.677695917714009511e+03 -2.876530933121018165e+02 1.523352027830546547e+02 1.539808033791736932e+02 -1.085307906601414807e+01 1.530414597398099943e+02
9.011624022378098486e-04 2.410117670084923128e-03 -4.516115187284147625e-02 1.801368774671939832e+02 3.053461452540811365e+02 1.956928869760826274e+03 -5.024839746002862171e+02 1.523352035429072089e+02 1.543837042985890093e+02 -1.085027342326741895e+01 1.531225831192942906e+02
9.489625226791427231e-04 2.485651661825823058e-03 2.561555638421727892e-03 2.044813377633060156e+02 2.959349954005721202e+02 2.198647028544885416e+03 -6.751237546836515548e+02 1.523403955596469928e+02 1.543732616356516587e+02 -1.075338750672983501e+01 1.530541642162426399e+02
9.839675185637007486e-04 2.549909976090239394e-03 6.295329130220966851e-02 2.225113320287385932e+02 2.880487432415455373e+02 2.361674127197697089e+03 -7.038904328619886428e+02 1.523473252937909024e+02 1.538634400586707613e+02 -1.063019784402891688e+01 1.528267547691740447e+02
1.000000000000000021e-03 2.581865269101141572e-03 9.715105971883167268e-02 2.307726336051779583e+02 2.841675177842645894e+02 2.431303735510055049e+03 -6.700919515423802295e+02 1.523513762503030478e+02 1.534413759631338792e+02 -1.056003973868491919e+01 1.526569451988521848e+02
