#t=30.00000000000189 
# x rho, U:x, U:y, T, Q:x, p
-2.616820764472958189e-20 2.498951272416877374e-03 -1.799410631786054968e-02 -2.294243866141952992e+02 2.848986345392367525e+02 -2.398778904322789458e+03 1.481346698397323678e+02
7.142857142857139327e-05 2.419432455448629338e-03 9.587591805506790951e-03 -1.957628282944737634e+02 2.953950867444281698e+02 -2.077797417473474525e+03 1.487049166818254662e+02
1.428571428571428137e-04 2.353285040921724008e-03 2.714908692135409307e-02 -1.614556787617530915e+02 3.040020256591947145e+02 -1.729221438640597853e+03 1.488536779612446139e+02
2.142857142857142476e-04 2.300509028836130159e-03 3.351981330326966879e-02 -1.270454664411226986e+02 3.105997659152606616e+02 -1.365212136263804041e+03 1.486735201898615344e+02
2.857142857142856815e-04 2.261104419191877716e-03 2.780314315368906386e-02 -9.313544549930014682e+01 3.152603206721012157e+02 -9.991999081362280322e+02 1.483195810486726884e+02
3.571428571428570883e-04 2.235071211988948897e-03 9.462369754441139758e-03 -6.036067541040999629e+01 3.182616537082482182e+02 -6.451790498785351247e+02 1.480076755779958546e+02
4.285714285714286036e-04 2.222409407227358014e-03 -2.161509285605804978e-02 -2.935263144620838105e+01 3.200727660642241972e+02 -3.168303935586129683e+02 1.480066906214354390e+02
5.000000000000000104e-04 2.223119004907072975e-03 -6.508610543944080840e-02 -7.010134496517648195e-01 3.213084269564223519e+02 -2.656803047218492253e+01 1.486255194903577888e+02
4.999999999999999020e-04 2.223119004907082082e-03 6.508610543976545149e-02 7.010134496681913463e-01 3.213084269564217834e+02 2.656803047178317456e+01 1.486255194903581298e+02
5.714285714285713630e-04 2.222409407227348040e-03 2.161509285639940173e-02 2.935263144622514275e+01 3.200727660642276646e+02 3.168303935586327498e+02 1.480066906214363769e+02
6.428571428571427156e-04 2.235071211988960173e-03 -9.462369754131323349e-03 6.036067541042570639e+01 3.182616537082477066e+02 6.451790498788858486e+02 1.480076755779963662e+02
7.142857142857141767e-04 2.261104419191897665e-03 -2.780314315336429934e-02 9.313544549931465610e+01 3.152603206720992262e+02 9.991999081365449911e+02 1.483195810486730579e+02
7.857142857142856377e-04 2.300509028836155746e-03 -3.351981330289870858e-02 1.270454664411344652e+02 3.105997659152575352e+02 1.365212136263925686e+03 1.486735201898617049e+02
8.571428571428572072e-04 2.353285040921737452e-03 -2.714908692096645523e-02 1.614556787617630107e+02 3.040020256591928387e+02 1.729221438640608994e+03 1.488536779612445287e+02
9.285714285714286682e-04 2.419432455448652756e-03 -9.587591805261601666e-03 1.957628282944787088e+02 2.953950867444261803e+02 2.077797417473420410e+03 1.487049166818258925e+02
1.000000000000000021e-03 2.498951272416890818e-03 1.799410631810353239e-02 2.294243866141983972e+02 2.848986345392363546e+02 2.398778904322427024e+03 1.481346698397329931e+02
