#t=30.00000000000189 
# x rho, U:x, U:y, T, Q:x, p
-2.616820764472958189e-20 2.499157648173158056e-03 -1.741054254071043930e-02 -2.294247121133925020e+02 2.848989767005390377e+02 -2.398980510691531435e+03 1.481470814568781407e+02
7.142857142857139327e-05 2.419616230082133335e-03 1.014271839788545918e-02 -1.957638895282941860e+02 2.953964937133686135e+02 -2.077998402088196599e+03 1.487169203083636830e+02
1.428571428571428137e-04 2.353450650973744947e-03 2.762942134812018322e-02 -1.614570046138541102e+02 3.040046758112379166e+02 -1.729411377076390181e+03 1.488654511184157059e+02
2.142857142857142476e-04 2.300660910847969476e-03 3.387604401013431799e-02 -1.270466878965741415e+02 3.106036751136668386e+02 -1.365380662097045160e+03 1.486852070946981996e+02
2.857142857142856815e-04 2.261247009704828604e-03 2.798452252713509378e-02 -9.313633217141099863e+01 3.152653753769930063e+02 -9.993388854367506156e+02 1.483313126489053388e+02
3.571428571428570883e-04 2.235208947544308888e-03 9.418521039691025651e-03 -6.036115975840224479e+01 3.182676638742017303e+02 -6.452843525266896449e+02 1.480195917057995416e+02
4.285714285714286036e-04 2.222546724366428108e-03 -2.193221647166333776e-02 -2.935281551433165959e+01 3.200795245448545643e+02 -3.169029292912017013e+02 1.480189610070603408e+02
5.000000000000000104e-04 2.223260340171170652e-03 -6.572028233081490811e-02 -7.011555857162490302e-01 3.213157592417664432e+02 -2.661376831835247003e+01 1.486383602518932605e+02
4.999999999999999020e-04 2.223260340171170652e-03 6.572028233115065343e-02 7.011555857342542941e-01 3.213157592417672959e+02 2.661376832010375537e+01 1.486383602518936300e+02
5.714285714285713630e-04 2.222546724366433746e-03 2.193221647210589695e-02 2.935281551434963632e+01 3.200795245448568380e+02 3.169029292929727717e+02 1.480189610070617618e+02
6.428571428571427156e-04 2.235208947544328403e-03 -9.418521039404945464e-03 6.036115975841885728e+01 3.182676638742008208e+02 6.452843525283929011e+02 1.480195917058004227e+02
7.142857142857141767e-04 2.261247009704837711e-03 -2.798452252680834820e-02 9.313633217142624687e+01 3.152653753769938589e+02 9.993388854381878446e+02 1.483313126489063336e+02
7.857142857142856377e-04 2.300660910847975547e-03 -3.387604400968422663e-02 1.270466878965871729e+02 3.106036751136688281e+02 1.365380662097987397e+03 1.486852070946995354e+02
8.571428571428572072e-04 2.353450650973756223e-03 -2.762942134780375578e-02 1.614570046138639725e+02 3.040046758112388829e+02 1.729411377076921781e+03 1.488654511184168712e+02
9.285714285714286682e-04 2.419616230082147646e-03 -1.014271839761430628e-02 1.957638895283005809e+02 2.953964937133685567e+02 2.077998402088230250e+03 1.487169203083645357e+02
1.000000000000000021e-03 2.499157648173171067e-03 1.741054254095912926e-02 2.294247121133957990e+02 2.848989767005398903e+02 2.398980510691302243e+03 1.481470814568793344e+02
