#t=30.00000000000189 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
1.116559674037652501e-20 2.493902832462176981e-03 -7.416269438272646286e-02 -2.309639835505693384e+02 2.842154007700912075e+02 -2.374629806077150988e+03 8.324058197453707635e+02 1.471824476333042355e+02 1.482545963338630202e+02 -1.029544411703844453e+01 1.474808710984985396e+02
1.603248143629917058e-05 2.472187560853349696e-03 -4.787358338101954658e-02 -2.227799820881003541e+02 2.869983684535607722e+02 -2.304040964010676817e+03 8.160168605885851321e+02 1.471790233307842470e+02 1.486098966324977084e+02 -1.035131033929190991e+01 1.476282266853330611e+02
5.103747732085724348e-05 2.428456856291839362e-03 -1.917367098650143509e-03 -2.049870383136877194e+02 2.925710690281135271e+02 -2.141866927620299066e+03 7.341032506918404579e+02 1.471731696193105563e+02 1.490522479377027025e+02 -1.044918060606458532e+01 1.478326388151297976e+02
9.883759776219018577e-05 2.376898918834830822e-03 3.379217844622937894e-02 -1.810390753540085882e+02 2.990833280278099551e+02 -1.906768793929649519e+03 5.736797558700604895e+02 1.471687875883012566e+02 1.491063271506546641e+02 -1.052582664307664118e+01 1.479147473300816102e+02
1.511624022378098601e-04 2.331257811339397350e-03 3.445342189079907136e-02 -1.556272493067406515e+02 3.048574930794354714e+02 -1.639504992764566168e+03 4.096910622939554969e+02 1.471687875277697515e+02 1.488320267696421126e+02 -1.052786735483503477e+01 1.478753333483175254e+02
1.989625226791428159e-04 2.299426982905299933e-03 -2.025921379380492705e-03 -1.334957641005841538e+02 3.090697935359099802e+02 -1.394815199894612533e+03 3.152758590180168881e+02 1.471731695977476875e+02 1.487279167366828858e+02 -1.044884659870678867e+01 1.478715903372021501e+02
2.339675185637007872e-04 2.282090406048166951e-03 -5.186286237465700943e-02 -1.181353041571977087e+02 3.116458559990023218e+02 -1.219984186838747519e+03 2.855954395169188160e+02 1.471790228274581409e+02 1.490149578653872027e+02 -1.033892367250641797e+01 1.479799103543111869e+02
2.499999999999999510e-04 2.275836525512578163e-03 -8.127046691306356874e-02 -1.113771558884511563e+02 3.127152400981157712e+02 -1.142064205820553298e+03 2.812095602311304106e+02 1.471824462828050173e+02 1.493086751316328673e+02 -1.027332400192067929e+01 1.480807715430207736e+02
2.499999999999999510e-04 2.274390844340196983e-03 -2.502615586200854919e-03 -1.108742307104959082e+02 3.127626901282681047e+02 -1.157174349475781128e+03 2.901926148492640323e+02 1.471715310923563607e+02 1.491322326073269551e+02 -1.042288005410019913e+01 1.480091609440965215e+02
2.660324814362991690e-04 2.267315448013885321e-03 -1.607042329131183177e-03 -1.037823723010376824e+02 3.137685324516043579e+02 -1.083833378302220808e+03 2.612369211975897656e+02 1.471720347523964278e+02 1.491702656544253500e+02 -1.043379821614071012e+01 1.480232351542112212e+02
3.010374773208571945e-04 2.253515418250079741e-03 -6.521249433640389506e-05 -8.822801682759300945e+01 3.157328879917719178e+02 -9.222404602725325731e+02 2.112833393859632451e+02 1.471728945404450428e+02 1.492226784980317973e+02 -1.045250320893014084e+01 1.480433534856997824e+02
